0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:42 +0900] "GET /BookStore/book.jsp?id=ISBN1235 HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:43 +0900] "GET /BookStore/cart.jsp HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:45 +0900] "GET /BookStore/removeCart.jsp?id=ISBN1235 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:45 +0900] "GET /BookStore/cart.jsp HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:46 +0900] "GET /BookStore/removeCart.jsp?id=ISBN1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:46 +0900] "GET /BookStore/cart.jsp HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:47 +0900] "GET /BookStore/books.jsp HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:49 +0900] "GET /BookStore/book.jsp?id=ISBN1234 HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:50 +0900] "GET /BookStore/cart.jsp HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:51 +0900] "GET /BookStore/books.jsp HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:53 +0900] "GET /BookStore/book.jsp?id=ISBN1235 HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:55 +0900] "POST /BookStore/addCart.jsp?id=ISBN1235 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:55 +0900] "GET /BookStore/book.jsp?id=ISBN1235 HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:56 +0900] "GET /BookStore/cart.jsp HTTP/1.1" 200 2163
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:30:57 +0900] "GET /BookStore/shippingInfo.jsp?cartId=780EDD6C01780161BB85166CD18D9687 HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:31:03 +0900] "POST /BookStore/processShippingInfo.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:31:03 +0900] "GET /BookStore/orderConfirmation.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [05/Mar/2025:03:31:05 +0900] "GET /BookStore/thanksCustmer.jsp HTTP/1.1" 200 1517
